"","type","amount","oldbalanceOrg","newbalanceOrig","oldbalanceDest","newbalanceDest","isFraud","type_CASH_IN","type_CASH_OUT","type_DEBIT","type_PAYMENT","type_TRANSFER"
"1","CASH_IN",240224.32,19213,259437.32,1819874.37,1579650.05,0,1,0,0,0,0
"2","CASH_IN",37984.2,50168,88152.2,0,0,0,1,0,0,0,0
"3","TRANSFER",744722.13,0,0,1862343.42,2607065.55,0,0,0,0,0,1
"4","CASH_OUT",477375.71,470,0,3717907.95,4195283.67,0,0,1,0,0,0
"5","CASH_OUT",98824.06,46410.03,0,207117.62,305941.68,0,0,1,0,0,0
"6","TRANSFER",42899.26,0,0,259063,301962.26,0,0,0,0,0,1
"7","PAYMENT",21350.39,27955.28,6604.88,0,0,0,0,0,0,1,0
"8","CASH_OUT",266224.19,0,0,836526.28,1102750.47,0,0,1,0,0,0
"9","CASH_OUT",203710.49,51950,0,1740337.92,1944048.41,0,0,1,0,0,0
"10","CASH_IN",251398.17,9826848.49,10078246.66,1160024.22,908626.06,0,1,0,0,0,0
"11","PAYMENT",661.93,0,0,0,0,0,0,0,0,1,0
"12","TRANSFER",1497777.56,0,0,4458094.74,5955872.3,0,0,0,0,0,1
"13","PAYMENT",89812.7,271,0,0,0,0,0,0,0,1,0
"14","TRANSFER",606661.52,476,0,8810047.67,9416709.19,0,0,0,0,0,1
"15","CASH_OUT",61922.1,119403,57480.9,0,61922.1,0,0,1,0,0,0
"16","TRANSFER",1865579.14,39559,0,0,1622436.37,0,0,0,0,0,1
"17","CASH_IN",112791.38,49476,162267.38,884989.91,772198.53,0,1,0,0,0,0
"18","PAYMENT",5379.05,1607,0,0,0,0,0,0,0,1,0
"19","PAYMENT",13400.3,1290828.46,1277428.16,0,0,0,0,0,0,1,0
"20","CASH_OUT",145523.87,0,0,235151.83,380675.7,0,0,1,0,0,0
"21","CASH_OUT",276919.65,9132,0,963284.12,1240203.77,0,0,1,0,0,0
"22","CASH_IN",21186.28,11031,32217.28,975925.58,954739.3,0,1,0,0,0,0
"23","CASH_OUT",107248.29,52080,0,0,107248.29,0,0,1,0,0,0
"24","PAYMENT",82.88,0,0,0,0,0,0,0,0,1,0
"25","PAYMENT",3275.85,28926.33,25650.47,0,0,0,0,0,0,1,0
"26","CASH_IN",57780.09,14137,71917.09,966281.63,908501.54,0,1,0,0,0,0
"27","CASH_OUT",186433.41,47495,0,283382.93,469816.34,0,0,1,0,0,0
"28","TRANSFER",2611526.99,46417,0,0,2611526.99,0,0,0,0,0,1
"29","CASH_IN",80661.76,1417273.43,1497935.19,199909.41,119247.65,0,1,0,0,0,0
"30","CASH_IN",105922.72,7012802.18,7118724.89,1318693.38,1212770.66,0,1,0,0,0,0
"31","CASH_OUT",271135.47,0,0,392550.18,663685.65,0,0,1,0,0,0
"32","CASH_OUT",49573.76,0,0,1392938.22,1442511.98,0,0,1,0,0,0
